false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,,Ardor Gaming Ulta (mid back),120.0,65.0,38.3,69.0,Symmetrical,Back - moderate,Flat,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),26000,1000,650,50,2,1
false,,Ardor Gaming Ulta (small back),120.0,65.0,38.3,69.0,Symmetrical,Back - minimal,Flat,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),26000,1000,650,50,2,1
false,,Ardor Gaming Prime X,120.0,64.0,39.0,75.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3335,Optical,Front - minimal (53%),16000,1000,400,40,2,1
false,,Ardor Gaming Prime Wireless,120.0,64.0,39.0,72.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PMW3325,Optical,Front - minimal (53%),10000,1000,100,20,2,1
false,,Ardor Gaming Prime,120.0,64.0,39.0,80.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wired,PixArt PAW3327,Optical,Front - minimal (53%),12400,1000,220,30,2,0
false,2,FineMax Noah,122.0,66.0,38.0,48.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,1000,650,50,2,0
false,3,Logitech G305 Lightspeed,116.6,62.2,38.2,99.0,Symmetrical,Back - moderate,Inward - moderate,Flat,Right,No,No,Plastic,Wireless,Logitech HERO 12K,Optical,Centered (52%),12000,1000,400,40,2,1
false,,ELECOM VM510BK,121.0,61.0,37.0,54.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3311,Optical,-,12000,1000,300,35,2,2
false,,ELECOM VM610BK,121.0,61.0,37.0,54.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,1000,650,50,2,2
false,1,Delux M600 Ultra,118.0,62.5,38.2,52.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,4000,650,50,2,1
false,1,GravaStar Mercury M2,124.0,65.5,39.5,79.0,Symmetrical,Center,Outward - aggressive,Flat,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3395,Optical,Front - moderate (58%),26000,1000,650,50,2,1
false,2,GravaStar Mercury M1 Pro,124.0,65.5,39.5,88.0,Symmetrical,Center,Outward - aggressive,Flat,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3395,Optical,Front - moderate (58%),26000,4000,650,50,2,1
false,3,Darmoshark M5,91.8,57.1,35.8,38.0,Symmetrical,Back - aggressive,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (48%),26000,4000,650,50,2,0
false,1,Vancer Thrash,123.3,62.3,39.8,49.0,Symmetrical,Back - moderate,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (48%),26000,4000,650,50,2,0
false,4,Redragon G49 Pro,120.8,64.3,37.9,49.0,Symmetrical,Back - minimal,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),26000,4000,650,50,2,0
false,1,Vancer Groove,125.0,64.5,38.2,47.0,Symmetrical,Center,Flat,Outward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (53%),26000,4000,650,50,2,1
false,3,Logitech G203 Lightsync,116.6,62.2,38.2,85.0,Symmetrical,Back - moderate,Inward - moderate,Flat,Right,No,No,Plastic,Wired,PixArt 1855,Optical,Centered (52%),8000,1000,-,-,2,1
false,2,Razer Pro Click Mini,100.2,62.7,34.2,88.0,Symmetrical,Back - moderate,Flat,Inward,Right,No,No,Plastic,Wireless,Razer Razer 5G,Optical,Back - minimal (45%),12000,1000,450,50,2,1
false,1,Zowie AM,125.0,64.0,38.0,88.0,Symmetrical,Center,Outward - slight,Inward,Ambidextrous,No,No,Plastic,Wired,Avago ADNS-3090,Optical,Front - moderate (56%),2300,1000,60,20,2,0
false,6,WLmouse Beast X Mini,116.0,58.0,35.0,34.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3395,Optical,Centered (52%),26000,8000,650,50,2,0
false,3,ROCCAT Pure SEL,121.1,69.3,38.3,49.0,Ergonomic,Center,Flat,Inward,Right,Yes,No,Plastic,Wired,PixArt PAW3318,Optical,-,8000,1000,200,30,2,0
false,3,ROCCAT Pure Air,121.1,69.3,38.3,54.0,Ergonomic,Center,Flat,Inward,Right,Yes,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,1000,650,50,2,0
false,4,Waizowl OGM Cloud,126.0,68.0,38.0,55.0,Symmetrical,Back - minimal,Flat,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,4000,650,50,2,0
false,5,Pulsar X2H eS,120.4,65.0,39.1,62.0,Symmetrical,Back - aggressive,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,8000,650,50,2,0
false,2,Darmoshark M3 Micro,105.5,54.6,33.5,42.0,Symmetrical,Back - moderate,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,8000,650,50,2,0
