false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,3,Razer Naga Pro,119.0,72.0,43.0,117.0,Ergonomic,Center,Outward - slight,Flat,Right,No,Yes,Plastic,Wireless,Razer Focus+,Optical,Centered (48%),20000,1000,650,50,12,2
false,5,Dareu A950 Pro 4K Magnesium,123.0,64.0,39.0,54.0,Symmetrical,Center,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (51%),26000,4000,650,50,2,0
false,5,Dareu A950 Pro 4K,123.0,64.0,39.0,55.0,Symmetrical,Center,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (51%),26000,4000,650,50,2,0
false,4,Dareu A950,123.0,64.0,39.0,88.0,Symmetrical,Center,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (51%),12000,1000,650,50,2,1
false,6,Dareu A950 Pro,123.0,64.0,39.0,55.0,Symmetrical,Center,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (51%),26000,1000,650,50,2,0
false,3,Logitech G Pro X Superlight 2,125.0,63.5,40.0,60.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,Logitech HERO 2,Optical,Front - minimal (53%),44000,8000,888,88,2,0
false,6,Pulsar X2H Mini,115.6,62.4,37.9,52.0,Symmetrical,Back - aggressive,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,1000,650,50,2,0
false,6,Pulsar X2H,120.4,65.0,39.1,54.0,Symmetrical,Back - aggressive,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,1000,650,50,2,0
false,4,Zaopin Z1 Pro,109.5,62.0,38.5,46.0,Symmetrical,Back - minimal,Inward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,4000,650,50,2,0
false,3,Zaopin Z1,109.5,62.0,38.5,65.0,Symmetrical,Back - minimal,Inward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,1000,650,50,2,0
false,3,Razer Viper 8KHz,126.7,66.0,37.8,71.0,Symmetrical,Center,Outward - moderate,Inward,Ambidextrous,No,No,Plastic,Wired,Razer Focus+,Optical,Centered (51%),20000,8000,650,50,2,0
false,4,Ironcat HPC01M Pro,118.6,60.0,38.6,60.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,4000,650,50,2,0
false,4,Ironcat HPC01M,118.6,60.0,38.6,57.0,Symmetrical,Back - minimal,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,1000,650,50,2,0
false,5,Pulsar X2V2 Mini,116.0,61.0,37.0,51.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,1000,650,50,2,0
false,6,Pulsar X2V2,120.0,63.0,38.0,53.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,1000,650,50,2,0
false,2,Rapoo VT9S,124.9,67.1,40.2,75.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,1000,650,50,2,0
false,1,Rapoo VT 960PRO,124.8,66.2,37.5,70.0,Symmetrical,Center,Inward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,1000,650,50,3,1
false,4,Attack Shark X3,118.5,61.0,39.7,49.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (53%),26000,1000,650,50,2,0
false,4,GITOPER G2,124.6,66.8,38.7,57.0,Symmetrical,Center,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),26000,1000,650,50,2,0
false,2,Xinshuntian G820,120.7,64.7,40.5,63.0,Ergonomic,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,-,26000,1000,650,50,2,1
false,3,Razer Viper,126.7,66.0,37.8,69.0,Symmetrical,Center,Outward - moderate,Inward,Ambidextrous,No,No,Plastic,Wired,Razer Razer 5G,Optical,Centered (51%),16000,1000,450,50,2,0
false,2,Corsair Nightsabre Wireless,129.4,63.0,40.4,99.0,Symmetrical,Center,Inward - slight,Inward,Right,No,No,Plastic,Wireless,Corsair MARKSMAN 26K,Optical,Front - minimal (53%),26000,2000,650,50,2,2
false,1,Razer Copperhead,128.0,64.0,39.0,100.0,Symmetrical,Back - moderate,Inward - slight,Inward - aggressive,Right,No,No,Plastic,Wired,Razer Laser Engine,Laser,Centered (52%),2000,1000,45,20,2,0
false,3,Logitech G402 Hyperion Fury,136.0,72.0,41.0,108.0,Ergonomic,Back - minimal,Inward - slight,Inward,Right,Yes,No,Plastic,Wired,Avago AM010,Optical,-,4000,1000,120,20,3,0
false,4,AJAZZ AJ139 Pro,125.0,63.3,38.0,59.0,Symmetrical,Center,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - aggressive (61%),26000,1000,650,50,2,1
false,3,Kysona M600,118.3,61.8,39.6,55.0,Symmetrical,Center,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (53%),26000,1000,650,50,2,0
false,5,Delux M800 Ultra,124.0,64.0,38.0,49.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (57%),26000,4000,650,50,2,0
false,2,Corsair Darkstar Wireless,129.5,67.9,43.6,98.0,Ergonomic,Center,Flat,Flat,Right,No,No,Plastic,Wireless,Corsair MARKSMAN 26K,Optical,Front - minimal (55%),26000,2000,650,50,6,2
false,3,Corsair M65 RGB Ultra Wireless,116.0,78.0,39.0,110.0,Ergonomic,Back - moderate,Inward - slight,Inward,Right,Yes,No,Plastic,Wireless,Corsair MARKSMAN 26K,Optical,Centered (50%),26000,2000,650,50,3,2
false,4,Razer Viper V2 Pro,126.7,66.0,37.8,59.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,Razer Focus Pro 30K,Optical,Centered (51%),30000,4000,750,70,2,0
false,5,Corsair M65 RGB Ultra,116.0,78.0,39.0,97.0,Ergonomic,Back - moderate,Inward - slight,Inward,Right,Yes,No,Plastic,Wired,Corsair MARKSMAN 26K,Optical,Centered (50%),26000,8000,650,50,3,2
false,1,Corsair M65 RGB Pro,118.0,77.0,39.0,115.0,Ergonomic,Back - moderate,Inward - slight,Inward,Right,Yes,No,Plastic,Wired,PixArt PMW3360,Optical,Front - minimal (54%),12000,1000,250,50,3,3
false,1,Corsair M65 RGB Elite,116.0,78.0,39.0,107.0,Ergonomic,Back - moderate,Inward - slight,Inward,Right,Yes,No,Plastic,Wired,PixArt PMW3391,Optical,Centered (50%),18000,1000,400,40,3,2
false,,VAXEE ZYGEN NP-01S Wireless,120.0,63.0,37.0,68.0,Hybrid,Back - moderate,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),3200,1000,650,50,2,0
false,,VAXEE ZYGEN NP-01S,120.0,63.0,37.0,71.0,Hybrid,Back - moderate,Outward - moderate,Inward,Right,No,No,Plastic,Wired,PixArt PMW3389,Optical,Front - minimal (54%),3200,1000,400,50,2,0
false,10,LAMZU Atlantis Mini 4K,116.9,63.1,37.0,49.0,Symmetrical,Back - moderate,Outward - slight,Inward - aggressive,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,4000,650,50,2,0
false,8,LAMZU Atlantis Mini Pro,116.9,63.1,37.0,49.0,Symmetrical,Back - moderate,Outward - slight,Inward - aggressive,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (55%),26000,1000,650,50,2,0
false,8,LAMZU Atlantis OG V2 4K,123.0,66.0,38.0,55.0,Symmetrical,Back - moderate,Outward - slight,Inward - aggressive,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (58%),26000,4000,650,50,2,0
false,8,LAMZU Atlantis OG V2 Pro,123.0,66.0,38.0,55.0,Symmetrical,Back - moderate,Outward - slight,Inward - aggressive,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (58%),26000,1000,650,50,2,0
false,3,Razer DeathAdder Essential,127.0,70.0,42.7,96.0,Ergonomic,Center,Outward - aggressive,Inward,Right,No,No,Plastic,Wired,PixArt PAW3328,Optical,Front - minimal (55%),6400,1000,220,30,2,0
false,3,G-Wolves HTX 4K,119.0,63.5,36.0,39.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (56%),26000,4000,650,50,2,1
false,3,G-Wolves HTX Ace,119.0,63.5,36.0,36.0,Symmetrical,Back - minimal,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - moderate (56%),26000,1000,650,50,2,1
false,5,Darmoshark M3 4K,129.6,66.1,39.2,65.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (50%),26000,4000,650,50,2,0
false,5,VGN Dragonfly F1 MOBA,121.2,63.8,37.6,55.0,Symmetrical,Center,Outward - moderate,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Front - minimal (54%),26000,4000,650,50,2,0
false,2,Glorious Model D Pro,128.0,67.0,42.0,58.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,Glorious BAMF,Optical,Centered (52%),19000,1000,400,50,2,1
false,4,Ducky Feather,124.0,65.0,36.0,65.0,Symmetrical,Center,Outward - slight,Inward,Ambidextrous,No,No,Plastic,Wired,PixArt PMW3389,Optical,Front - moderate (57%),16000,1000,400,50,2,0
