false,,Name,Length (mm),Width (mm),Height (mm),Weight (g),Shape,Hump placement,Front flare,Side curvature,Hand compatibility,Thumb rest,Ring finger rest,Material,Connectivity,Sensor,Sensor technology,Sensor position,DPI,Polling rate,Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons
false,1,Razer Pro Click V2 Vertical,110.0,88.0,79.0,150.0,Ergonomic,Back - moderate,Inward - aggressive,Outward - aggressive,Right,Yes,No,Plastic,Wireless,Razer Focus Pro 30K,Optical,-,30000,8000,750,70,2,1
false,2,Imecoo P1,125.6,67.9,42.4,55.0,Ergonomic,Center,Flat,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Centered (50%),30000,8000,750,50,2,0
false,,Vaidemi Nimbus,120.0,66.5,38.0,29.0,Symmetrical,Back - moderate,Outward - slight,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (54%),30000,8000,750,50,2,0
false,1,Zowie EC3-DW,119.0,66.0,41.0,59.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Centered (52%),3200,4000,750,50,2,0
false,1,Zowie EC2-DW,123.0,65.0,42.0,60.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Centered (50%),3200,4000,750,50,2,0
false,1,Zowie EC1-DW,130.0,69.0,42.0,63.0,Ergonomic,Center,Outward - moderate,Inward,Right,No,No,Plastic,Wireless,PixArt PAW3950,Optical,Front - minimal (53%),3200,4000,750,50,2,0
false,1,Tecware EX1,121.0,62.0,38.0,59.0,Symmetrical,Back - moderate,Outward - slight,Flat,Right,No,No,Plastic,Wireless,PixArt PAW3395,Optical,Centered (52%),26000,1000,650,50,2,0
false,1,WLmouse Ying,120.0,60.0,37.0,37.0,Symmetrical,Back - moderate,Flat,Flat,Right,No,No,Forged carbon fiber,Wireless,PixArt PAW3950 HS,Optical,Front - minimal (55%),30000,8000,750,50,2,0
false,5,WLmouse Beast X Max,126.0,65.0,39.0,42.0,Symmetrical,Center,Outward - moderate,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950 HS,Optical,Centered (52%),30000,8000,750,50,2,0
false,1,WLmouse Beast Miao,91.0,55.0,34.0,31.0,Symmetrical,Back - aggressive,Outward - slight,Inward,Right,No,No,Magnesium (metal),Wireless,PixArt PAW3950 HS,Optical,Centered (49%),30000,8000,750,50,2,0
